起点,终点,水平距离（m）,起点作业海拔（m）,终点作业海拔（m）,航段DEM最高海拔（m）,计划巡航海拔（m）,起点爬升（m）,终点下降（m）,经过DEM像元段数
S012,S005,5622.612710992103,283.31507873535156,199.03955078125,313.5632019042969,363.5632019042969,80.24812316894531,164.52365112304688,204
S012,S006,9989.794407069843,283.31507873535156,305.1272277832031,385.3490295410156,435.3490295410156,152.03395080566406,130.2218017578125,469
S012,S007,9663.236748745567,283.31507873535156,344.2220458984375,407.66363525390625,457.66363525390625,174.3485565185547,113.44158935546875,416
S012,S008,7727.831737452086,283.31507873535156,278.2891845703125,309.1531982421875,359.1531982421875,75.83811950683594,80.864013671875,344
S012,S009,2972.7013019717538,283.31507873535156,219.4370880126953,310.91961669921875,360.91961669921875,77.60453796386719,141.48252868652344,108
S012,S010,3951.0036693855463,283.31507873535156,351.5816650390625,423.1903076171875,473.1903076171875,189.87522888183594,121.608642578125,152
S012,S011,6903.5016312811385,283.31507873535156,208.04286193847656,370.4505615234375,420.4505615234375,137.13548278808594,212.40769958496094,308
S012,S013,2855.2188130850145,283.31507873535156,351.70806884765625,386.5263671875,436.5263671875,153.21128845214844,84.81829833984375,127
S012,S014,5454.843242880324,283.31507873535156,350.9825134277344,481.1858215332031,531.1858215332031,247.87074279785156,180.20330810546875,180
S012,S015,9317.610240700911,283.31507873535156,466.229248046875,534.7462158203125,584.7462158203125,301.43113708496094,118.5169677734375,345
S013,O01,4849.241909110609,351.70806884765625,128.7255401611328,349.18182373046875,399.18182373046875,47.4737548828125,270.45628356933594,228
